768	737
415	141
617	223
474	660
392	278
973	921
553	115
869	936
359	45
229	313
497	172
695	336
520	48
580	202
120	219
990	8
4	944
688	662
643	354
841	914
151	621
146	618
417	122
414	776
760	726
486	231
325	515
900	784
772	310
478	699
120	791
750	309
754	818
185	594
113	665
456	247
592	274
962	39
41	24
812	714
325	871
474	731
302	972
781	412
395	733
580	603
734	408
32	466
859	36
310	244
255	860
70	457
807	729
601	64
916	340
86	553
350	90
183	729
611	274
441	909
154	223
886	200
17	614
16	368
310	115
430	330
337	728
449	495
611	384
578	676
32	66
445	170
513	951
777	685
701	594
983	57
404	13
124	24
12	336
207	714
27	327
79	670
643	655
169	145
844	525
44	730
1	212
84	441
205	839
543	802
733	71
579	111
827	354
520	670
409	880
249	482
149	708
156	163
780	75
638	380
361	206
296	635
844	82
882	548
990	310
804	236
924	415
640	706
224	312
811	507
165	663
588	190
997	634
654	574
369	866
114	640
216	176
504	402
973	363
512	880
768	209
868	805
897	233
195	538
621	640
29	789
833	123
248	488
112	728
52	307
611	494
407	572
383	276
855	929
600	286
187	502
608	346
641	273
269	721
847	41
154	872
226	77
651	36
995	315
296	33
294	814
485	688
849	118
125	467
508	121
424	244
221	665
651	239
681	737
223	762
16	569
916	278
633	939
530	897
601	923
313	191
42	498
119	160
79	973
226	505
348	316
687	571
487	21
61	496
348	401
595	969
937	108
935	127
974	942
412	139
829	677
982	613
167	720
17	691
460	723
891	102
621	299
11	818
429	506
573	681
782	565
280	432
320	780
976	535
185	665
453	985
242	372
708	587
770	794
332	860
464	740
243	212
497	408
23	975
81	535
667	765
474	845
821	809
460	245
68	983
250	933
270	382
232	357
255	150
150	977
792	848
982	561
825	980
991	979
934	773
133	607
4	324
254	461
542	430
290	762
11	468
680	595
56	584
610	48
674	813
313	255
710	701
332	546
939	512
575	709
389	317
28	827
28	211
941	688
78	77
280	976
34	992
759	152
746	814
553	298
578	340
558	614
907	405
169	421
46	25
135	740
745	467
427	611
772	371
648	77
552	663
739	422
624	729
900	569
990	36
35	777
674	897
511	771
556	36
906	620
529	999
440	535
125	753
266	368
752	971
422	629
974	264
986	670
347	785
106	16
521	835
470	191
374	812
354	116
404	575
390	345
559	914
810	837
226	815
941	954
499	977
958	256
223	299
64	356
900	316
687	597
934	719
587	922
144	394
421	961
643	521
422	983
295	931
599	741
958	385
556	263
963	332
204	423

