0	27.81250	60.00000	123	80
1	17.22936	60.00000	261	501
2	29.11667	60.00000	381	36
3	21.92771	60.00000	298	137
4	23.29897	60.00000	474	39
5	21.50588	60.00000	479	124
6	19.36000	60.00000	8	174
7	23.33333	60.00000	3	84
8	24.10204	60.00000	387	112
9	28.39506	60.00000	203	35
10	23.30120	60.00000	120	13
11	27.39130	60.00000	738	276
12	25.67521	60.00000	61	2
13	2.35294	9.00000	997	283
14	21.52577	60.00000	476	46
15	26.25882	60.00000	624	41
16	18.45161	60.00000	121	32
17	25.23077	60.00000	777	24
18	23.03371	60.00000	128	122
19	22.63291	60.00000	591	15
20	18.95652	60.00000	420	11
21	17.14286	60.00000	10	179
22	30.62338	60.00000	204	42
23	22.50000	60.00000	731	73
24	25.65333	60.00000	327	9
25	25.97849	60.00000	472	21
26	20.40336	60.00000	20	308
27	29.00971	60.00000	845	31
